clase,area,perimetro,color_r,color_g,color_b,aspect_ratio,extent,solidity,circularity,hu1,hu2,hu3,hu4,hu5,hu6,hu7,entropy,contrast,homogeneity
0,3564954.0,7858.0,247.84707186508763,242.1942656855659,247.62440094671027,0.567384370015949,0.9988988154280162,1.0,0.7255038900774796,0.19418513768574105,0.009930089920252435,6.94688867942164e-33,6.94688867942164e-33,4.825926232427653e-65,6.922563212893881e-34,0.0,6.241528,7409.968663479412,0.00013493512729690927
0,2454732.0,6576.0,247.49288371476464,244.80616302854065,250.18376661403423,0.5352309846010266,0.9986619316922027,1.0,0.7133297534176276,0.20034366277051838,0.012359805434529402,0.0,0.0,0.0,0.0,0.0,6.157564,7153.377579802704,0.00013977456303439564
0,2576949.0,6572.0,245.9149662011865,243.54978859333502,249.08828135144168,0.6489468405215647,0.9987260855208593,1.0,0.7497570844157052,0.18251227840882117,0.005532953992201278,1.237466405296166e-33,1.3749626725512953e-34,-5.6715670527282015e-68,-1.0227498809000132e-35,-0.0,6.032388,6925.848740703223,0.0001443657913480696
0,3612336.0,7874.0,249.73043407336334,246.79258119213,251.545726821988,0.5870265914585012,0.9989110338431214,1.0,0.7321619959303105,0.19090363779375258,0.008666421145110525,7.951035038722751e-33,7.747813695879998e-33,6.072811742510481e-65,6.4559754717196e-34,-3.169691663837834e-66,5.9030356,7353.886336340397,0.00013596403183812822
0,1446364.0,4990.0,250.37011006109176,246.4031430421195,251.1028289244066,0.580379746835443,0.9982772662645114,1.0,0.7299386776465552,0.1919927602364734,0.009083442205442185,8.40830636493244e-33,1.5813787200102298e-32,1.823218190702783e-64,1.1469166468125037e-33,-3.2609535836845466e-66,5.9173937,6742.970185432348,0.00014828060808455237
0,897034.0,3862.0,251.43546523562358,247.21254704163124,252.01295563179966,0.6750433275563258,0.9978508642151094,1.0,0.7557779714012957,0.17973055276239988,0.004525293818500048,5.464354707291128e-33,2.1016748874196643e-33,6.537215251967479e-66,-8.482818532256102e-35,-2.826903892742694e-66,5.596747,8201.803076466858,0.00012190954612441137
0,1029370.0,4186.0,249.9768736316665,245.5844557316753,250.50688326473423,0.6065950920245399,0.9979698758269799,1.0,0.7382150977687839,0.18797168818468243,0.0075555777812217305,5.1358476897902934e-33,2.066221499877072e-32,1.8107246375847094e-64,1.3461528868085232e-33,1.1188123740090342e-64,5.7058783,6927.89377701423,0.00014432318234079147
0,1106534.0,4362.0,250.65204042823257,246.32863442448422,251.25690898454386,0.5830311820159536,0.9980319576879922,1.0,0.7308080194374551,0.19156611244360014,0.008919797658976282,4.010354316287625e-33,1.1957478465995211e-32,8.215823442112015e-65,1.1223705693401406e-33,-1.0320372682626003e-65,5.5812626,7152.57278804729,0.00013979028796224353
0,3324442.0,7426.0,249.08094745702977,245.35981579813526,250.64660621754112,0.6832804712279112,0.9988840667324489,1.0,0.7575629641485268,0.17891436116697676,0.004232570854009637,1.1158972872739152e-33,2.174075749344007e-32,-1.070495234406994e-64,1.0088657735891026e-33,2.712551030351196e-66,6.107992,7831.457375875474,0.0001276738515143499
0,1838616.0,5566.0,250.93948847108976,246.84292370219728,251.37429611085176,0.6334310850439883,0.9984881068752036,1.0,0.7457864613786428,0.1843713332927231,0.0062150107623586,0.0,0.0,0.0,0.0,0.0,5.9112477,7011.4455754489345,0.00014260360230118155
