clase,area,perimetro,color_r,color_g,color_b
0,130421.5,1752.8052518367767,82.7615690100693,83.42429739844958,16.20432804079548
0,134377.0,1704.3027257919312,86.90128409132961,85.93502571883211,31.468578618214114
0,118506.5,1597.0062614679337,87.48792672073616,88.0461941463906,25.395815492082683
0,118406.0,1595.3077774047852,85.96654184578183,85.59630239118754,25.370482939279956
0,125658.0,1625.7930603027344,93.08755242541743,94.67504945794097,24.65116720740682
0,112366.5,1592.923003077507,74.60255072258681,77.98500875594786,3.500583729856898
0,116437.5,1617.3494079113007,89.82791118547416,90.54107373039788,21.137524222531436
0,106801.5,1519.124012351036,86.01428345445579,88.18118119981017,10.89376273646794
0,126240.0,1613.2489012479782,82.6193852310504,78.82373840021427,18.502843818436766
0,120354.5,1553.5504171848297,91.27688773950476,90.1680561178541,25.43426890631326
0,112721.5,1534.864126443863,82.01401395221674,79.95266653143659,18.317902405037614
0,110828.5,1689.089521408081,88.9480826804826,90.09667270217457,32.711792545848944
0,98923.5,1418.3544595241547,77.106254520614,81.2362372418227,5.114150526400386
0,98378.0,1374.0529453754425,85.52030877419877,86.04484096512145,22.217738350240474
0,110744.5,1507.2661454677582,88.42798664903331,87.06403785772764,25.28718972947199
0,120485.5,1549.3838976621628,85.09596117979105,87.67881723802135,13.253602257910114
0,119609.0,1603.6509234905243,84.38496575570184,86.3266839550502,15.379230666932642
0,126309.0,1629.2489022016525,84.07062722899724,82.02486242215731,18.491603618356308
0,115866.5,1650.1778358221054,86.47499742683638,89.66559165608811,22.095910385288366
0,123849.5,1671.1483968496323,88.76833976833977,90.36642612318288,22.06094125013044
0,114791.5,1541.751428246498,85.9940588056987,82.14469319707271,16.39923786428788
0,124670.0,1543.9940675497055,88.9385610799081,93.22511647944856,15.13005808016339
0,115087.5,1661.8590724468231,88.79128167043747,92.2461701870434,26.9007184677294
0,129012.0,1632.4793521165848,89.78019563860046,91.13455742355218,25.229655666813127
0,120842.5,1541.3494055271149,87.02627767261954,87.55652209694675,34.66462019586865
0,112770.5,1647.207272052765,86.28693399592926,90.86831786982457,16.11094076286643
0,128914.0,1618.1362036466599,92.19323301878772,94.496240136638,37.994242346958494
0,126475.0,1645.47429728508,83.7120235249717,84.12933230595043,20.2544030695685
0,114752.0,1548.2783390283585,80.09623648461326,82.11787843082894,14.97506584419185
0,116026.0,1671.3077788352966,82.9557561535431,84.9443055103544,15.330843938952741
0,116444.0,1585.7930594682693,73.03494228930474,76.35484394208441,6.251715954104631
0,132313.0,1680.4204734563828,87.87327976910763,88.92602725311727,47.82087802238273
0,115373.0,1572.3372138738632,80.10535748134618,81.80188175285623,12.497811514535334
0,115249.5,1540.7808674573898,86.43003666163467,89.62387750700884,21.238550787146863
0,102967.5,1424.2955853939056,82.22543586971213,77.60011970729636,11.977525920491185
0,88838.0,1397.3422689437866,89.81971739665079,93.23034185167796,5.183960471303687
0,107769.5,1475.6092948913574,82.37052171346346,82.07166180865588,23.176890012175775
0,123745.0,1583.1067669391632,86.73619750229037,89.5928363630519,25.44406673417233
0,114760.5,1562.2367089986801,79.1507510542641,83.37252988533788,13.126520405673858
0,127301.0,1630.4204761981964,89.05032812388947,86.25489421854394,38.013867281586364
0,110230.5,1768.8885127305984,95.49571625480851,96.92754119332258,46.080413689966754
0,118322.0,1581.0478912591934,81.8596361497416,83.8900970547456,19.925582958699213
0,111343.5,1561.8346892595291,81.75198178896626,81.7586591680057,23.981851455097303
0,112845.5,1554.9230011701584,83.2205221711326,83.77042263446259,28.25003082994204
0,114947.5,1506.295585155487,80.22016832890742,85.13250062712466,3.1765637028899634
0,104610.5,1453.6092938184738,84.01711293970088,86.94205735352806,11.636352406833774
0,129001.5,1629.692552804947,88.19354739236017,89.4845623096789,32.22194811702579
0,107064.0,1476.8813709020615,84.19990901410281,93.53027137936478,2.9215107372642954
0,111483.0,1535.449913263321,84.21267242686069,81.12996103398157,28.580228089416757
0,102863.0,1446.8813718557358,86.73840742852174,85.6149014909221,16.449527987400113
0,105834.5,1481.4671580791473,83.51528896902762,85.32891944178358,12.294678912867903
