clase,area,perimetro,color_r,color_g,color_b
0,3564954.0,7858.0,247.84707186508763,242.1942656855659,247.62440094671027
0,2454732.0,6576.0,247.49288371476464,244.80616302854065,250.18376661403423
0,2576949.0,6572.0,245.9149662011865,243.54978859333502,249.08828135144168
0,3612336.0,7874.0,249.73043407336334,246.79258119213,251.545726821988
0,1446364.0,4990.0,250.37011006109176,246.4031430421195,251.1028289244066
0,897034.0,3862.0,251.43546523562358,247.21254704163124,252.01295563179966
0,1029370.0,4186.0,249.9768736316665,245.5844557316753,250.50688326473423
0,1106534.0,4362.0,250.65204042823257,246.32863442448422,251.25690898454386
0,3324442.0,7426.0,249.08094745702977,245.35981579813526,250.64660621754112
0,1838616.0,5566.0,250.93948847108976,246.84292370219728,251.37429611085176
0,1832039.0,5568.0,249.84496291516388,246.25053581922728,251.0915876381319
0,2437630.0,6622.0,249.12095297144364,245.64879667044377,250.84100228764459
0,1454334.0,4838.0,251.7064178959112,247.3420096155549,252.2300937649413
0,1465962.0,5014.0,250.99375568274448,247.10954635423562,252.20764679944548
0,1843968.0,5642.0,250.28229740613315,246.22613282560542,250.91857620664476
0,1193348.0,4488.0,250.54918239189232,246.43060434606895,251.18272608574006
0,1623468.0,5242.0,249.44740262248447,245.69583088133382,250.52045024391242
0,2218405.0,6092.0,251.03176823420904,246.56772269918736,251.11594310391015
0,2566646.5,6672.24264061451,248.011464105423,244.36902737546293,249.55308688319766
0,2570915.0,6696.0,249.5823466283646,244.68865707783462,249.4582684631366
0,1401426.0,4790.0,250.27439725039034,246.15153902045793,251.09240866977072
0,1044820.0,4136.0,250.95571869293292,246.82275766414276,251.73353997943298
0,2135980.0,6178.0,247.2453262305319,243.53603159429656,248.74398524751265
0,2582762.0,6654.0,250.7446388412834,245.3909575403262,250.25547199752944
0,2081460.0,5944.0,250.0598277462711,245.89159755996224,250.95907209226897
0,1178520.0,4486.0,249.91668781555384,245.74719267183596,250.74305296378017
0,2580130.0,6602.0,249.2492204532295,245.7072028441044,250.39682559082846
0,2404264.0,6418.0,247.127946087209,244.90090015970574,249.86648276307088
0,1660616.0,5316.0,248.58912928351754,244.7057458028215,249.78217532491945
0,1343991.0,4816.0,249.84123298231714,245.97973135750652,250.79583063423826
0,1604264.0,5190.0,250.28866424628507,246.4056399839841,251.0622944587658
0,2910150.0,7070.0,250.1916279322472,250.39497196703053,253.34518758650378
0,1302464.0,4740.0,250.9933426754991,247.14500755670278,251.84032872688468
0,2005968.0,5842.0,250.94318264943647,246.89807828521165,251.23695558699634
